Film name,Brand,Origin,Film type,Film formats (mm),ISO film speed,Film grain,Film contrast,Film hue,Film use cases,Description,Photo of the film,Link to the page descritpion,Film datasheet
Adox CMS 20 II,ADOX,Belgium,Black & White,"35, 120",20,Very Fine,Very High ,N/A,"Portraits, Landscape, Nature","Adox CMS 20 II is an ultra high-resolution film with incredibly fine grain and high contrast. It is capable of recording a large tonal range and is best used for highly detailed images. Due to its low ISO rating, it requires good lighting conditions and is not ideal for general-purpose photography.",httpsO2:P54://www.filmtypes.com/imgs/filmrolls/adox-cms-20-ii.jpg,https://www.filmtypes.com/films/adox-cms-20-ii,https://firebasestorage.googleapis.com/v0/b/filmtypes-app.appspot.com/o/ADOX-CMS-20-II.pdf?alt=media&token=b724d64b-972c-4c46-9bab-efddcb2a6fd7
Adox SCALA 160,ADOX,Belgium,Black & White Slide,35,160,Fine,High,N/A,"General Purpose, Portraits, Street, Landscape, Nature","Adox SCALA 160 is a black and white reversal film designed to produce black and white slides instead of negatives. It has fine grain and a moderate contrast, offering a wide tonal range. The film can also be processed as a standard black and white negative film, offering flexibility in terms of processing and final image output.",https://www.filmtypes.com/imgs/filmrolls/adox-scala-160.jpg,https://www.filmtypes.com/films/adox-scala-160,https://firebasestorage.googleapis.com/v0/b/filmtypes-app.appspot.com/o/ADOX_SCALA_160.pdf?alt=media&token=9b26e5c8-ffea-48b6-a571-cf0ee62d02c4
Adox SilverMax,ADOX,Belgium,Black & White,35,100,Fine,High,N/A,"General Purpose, Portraits, Street, Landscape, Nature","Adox SilverMax is known for its high silver content, which provides a high contrast and wide tonal range, capable of reproducing detailed shadows and highlights. It is a good choice for photographers seeking a classic, rich black and white film aesthetic.",https://www.filmtypes.com/imgs/filmrolls/adox-silvermax.jpg,https://www.filmtypes.com/films/adox-silvermax,https://firebasestorage.googleapis.com/v0/b/filmtypes-app.appspot.com/o/ADOX-Silvermax-100.pdf?alt=media&token=472a8d9d-b3a5-47de-bcb9-8365ee33a38f
AGFA APX 100,AGFA,UK,Black & White,35,100,Fine,Medium High,N/A,"General Purpose, Portraits, Street, Landscape, Nature","AGFA APX 100 is a black and white film that offers fine grain and moderate contrast, ideal for a wide range of photographic applications. It's well-regarded for its ability to reproduce a wide range of tones, capturing detail in both shadows and highlights, making it a versatile choice for various photography styles.",https://www.filmtypes.com/imgs/filmrolls/agfa-apx-100.jpg,https://www.filmtypes.com/films/agfa-apx-100,https://firebasestorage.googleapis.com/v0/b/filmtypes-app.appspot.com/o/AGFAPHOTO-APX-100.pdf?alt=media&token=9f11d7aa-13fb-46f3-8b0a-39cfcab2c194
AGFA APX 400,AGFA,UK,Black & White,35,400,Medium,Medium High,N/A,"General Purpose, Portraits, Street, Sports","AGFA APX 400 is a higher-speed counterpart to the APX 100, offering increased sensitivity to light while maintaining a fine grain structure. It’s a versatile film that performs well in various lighting conditions, including lower light scenarios, making it a good choice for everyday photography.",https://www.filmtypes.com/imgs/filmrolls/agfa-apx-400.jpg,https://www.filmtypes.com/films/agfa-apx-400,https://firebasestorage.googleapis.com/v0/b/filmtypes-app.appspot.com/o/AGFAPHOTO-APX-400.pdf?alt=media&token=f3b44dd2-a814-41fd-b953-51bc9af4cd75
AGFA Vista Plus 200,AGFA,UK,Color Negative ,35,200,Normal,Low Medium,Vibrant colors with a slight emphasis on reds,"General Purpose, Creative, Sunny Conditions","AGFA Vista Plus 200 is a budget-friendly color negative film well-regarded for delivering vibrant and vivid colors. It has a fine grain structure and moderate contrast, which makes it a great choice for a variety of lighting conditions. It is an excellent film for beginners and enthusiasts alike.",https://www.filmtypes.com/imgs/filmrolls/agfa-vista-plus-200.jpg,https://www.filmtypes.com/films/agfa-vista-plus-200,https://firebasestorage.googleapis.com/v0/b/filmtypes-app.appspot.com/o/AGFAPHOTO-VISTA-PLUS-200.pdf?alt=media&token=b4c3e517-db06-4a19-ad88-ecef02612664
AGFA Vista Plus 400,AGFA,UK,Color Negative ,35,400,Medium,Low Medium,Bright and vibrant with a warm tone,"General Purpose, Creative","AGFA Vista Plus 400 offers a higher ISO than its 200-speed counterpart, providing more flexibility in lower light conditions or for fast-action shooting. Its moderate grain structure and warm color reproduction make it a versatile choice for various photographic applications.",https://www.filmtypes.com/imgs/filmrolls/agfa-vista-plus-400.jpg,https://www.filmtypes.com/films/agfa-vista-plus-400,https://firebasestorage.googleapis.com/v0/b/filmtypes-app.appspot.com/o/AGFAPHOTO-VISTA-PLUS-400.pdf?alt=media&token=4d59c7a8-38af-46b4-b43c-b6e3efeccf21
Cinestill 800T,Cinestill,USA,Color Negative ,"35, 120",800,Medium,Low,Tungsten-balanced with warm tones,"Low Light Conditions, Tungsten, Creative","Cinestill 800T is a high-speed color negative film known for its cinematic look derived from motion picture film stock. It is tungsten-balanced, making it ideal for nighttime or tungsten light photography. The halation effect, where bright light sources have a soft glow, is a characteristic feature of this film.",https://www.filmtypes.com/imgs/filmrolls/cinestill-800t.jpg,https://www.filmtypes.com/films/cinestill-800t,https://firebasestorage.googleapis.com/v0/b/filmtypes-app.appspot.com/o/CineStill-800T-Datasheet.pdf?alt=media&token=d5e8f24b-1476-4bbe-a0e4-f1e91f59c539
Fomapan 100 Classic,Fomapan,Czech Republic,Black & White,"35, 120, Sheet film",100,Fine,High,N/A,"General Purpose, Portraits, Street","Fomapan 100 Classic is a traditional black and white film with a fine grain structure. It is known for its good resolution and wide exposure latitude, making it forgiving for new photographers. It is a budget-friendly choice for both new and experienced photographers looking for a classic black and white film aesthetic.",https://www.filmtypes.com/imgs/filmrolls/fomapan-100-classic.jpg,https://www.filmtypes.com/films/fomapan-100-classic,https://firebasestorage.googleapis.com/v0/b/filmtypes-app.appspot.com/o/Fomapan-100-Classic.pdf?alt=media&token=fda9c40f-6574-4660-befa-d99584403f7a
Fomapan 200 Creative,Fomapan,Czech Republic,Black & White,"35, 120, Sheet film",200,Normal,Medium,N/A,"General Purpose, Portraits, Street","Fomapan 200 Creative is slightly faster than the 100 Classic, offering a bit more flexibility in varying lighting conditions. It maintains a moderate contrast and grain structure, providing a classic and slightly gritty aesthetic that many photographers appreciate for black and white imagery.",https://www.filmtypes.com/imgs/filmrolls/fomapan-200-creative.jpg,https://www.filmtypes.com/films/fomapan-200-creative,https://firebasestorage.googleapis.com/v0/b/filmtypes-app.appspot.com/o/Fomapan-200-Creative.pdf?alt=media&token=daabdbd3-138a-47cf-b136-1620678b70dd
